statecode,countyname,bldg_count_Flex,bldg_count_Healthcare,bldg_count_Hospitality,bldg_count_Industrial,bldg_count_Multifamily,bldg_count_Office,bldg_count_Retail,bldg_count_Specialty,bldg_count_Entertainment,area_sum_Flex,area_sum_Healthcare,area_sum_Hospitality,area_sum_Industrial,area_sum_Multifamily,area_sum_Office,area_sum_Retail,area_sum_Specialty,area_sum_Entertainment
KY,Ohio County,1.0,2.0,0.0,8.0,3.0,7.0,46.0,10.0,0.0,3900.0,14200.0,0.0,504500.0,105800.0,39300.0,694500.0,21800.0,0.0
KY,Oldham County,11.0,3.0,5.0,119.0,22.0,128.0,250.0,27.0,1.0,95000.0,76500.0,229700.0,2248400.0,1764200.0,1412100.0,2382900.0,584400.0,63500.0
KY,Owen County,0.0,2.0,1.0,6.0,3.0,3.0,20.0,9.0,0.0,0.0,91800.0,2800.0,199100.0,31800.0,21700.0,121800.0,48800.0,0.0
KY,Owsley County,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,33200.0,0.0,0.0,0.0,0.0,14100.0,0.0,0.0
KY,Pendleton County,0.0,2.0,1.0,15.0,2.0,9.0,39.0,5.0,2.0,0.0,25000.0,6400.0,380600.0,43500.0,21100.0,226100.0,22100.0,3900.0
KY,Perry County,1.0,0.0,1.0,10.0,4.0,22.0,66.0,16.0,2.0,41100.0,0.0,49000.0,971800.0,153100.0,246500.0,1639300.0,83700.0,22800.0
KY,Pike County,2.0,2.0,3.0,4.0,4.0,45.0,187.0,36.0,0.0,5900.0,51400.0,38400.0,80100.0,260500.0,553000.0,3115300.0,251200.0,0.0
KY,Powell County,0.0,0.0,2.0,5.0,14.0,11.0,41.0,2.0,0.0,0.0,0.0,2500.0,241600.0,117400.0,58200.0,281800.0,7600.0,0.0
KY,Pulaski County,0.0,6.0,8.0,28.0,31.0,46.0,185.0,14.0,0.0,0.0,414700.0,171400.0,1464300.0,989100.0,256500.0,3728600.0,99200.0,0.0
KY,Robertson County,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4600.0,0.0,0.0
KY,Rockcastle County,0.0,1.0,3.0,3.0,7.0,11.0,40.0,6.0,2.0,0.0,32000.0,89200.0,20900.0,202200.0,48200.0,218700.0,16100.0,83700.0
KY,Rowan County,1.0,1.0,3.0,5.0,13.0,19.0,80.0,4.0,0.0,47400.0,9300.0,146700.0,1105800.0,344800.0,138000.0,1520200.0,90200.0,0.0
KY,Russell County,0.0,1.0,3.0,12.0,9.0,11.0,71.0,12.0,2.0,0.0,29000.0,9900.0,155600.0,158400.0,34700.0,641400.0,138200.0,6800.0
KY,Scott County,3.0,3.0,11.0,46.0,36.0,72.0,226.0,13.0,3.0,116500.0,264300.0,505800.0,10739100.0,3331100.0,521900.0,2914400.0,297200.0,61000.0
KY,Shelby County,6.0,5.0,11.0,166.0,43.0,129.0,295.0,45.0,1.0,115000.0,255100.0,240000.0,7902800.0,2148300.0,872700.0,3071500.0,662500.0,44500.0
